"Dataset Index","AMPLITUDE","STD_ERR","CENTER","STD_ERR","SIGMA","STD_ERR","FWHM","STD_ERR","HEIGHT","STD_ERR"
"0.0","0.000533","0.0","1.0","0.0","0.21741","0.0","0.511961","0.0","0.000977","0.0"
"1.0","0.000548","0.0","1.0","0.0","0.225911","0.0","0.53198","0.0","0.000968","0.0"
"2.0","0.00055","0.0","1.0","0.0","0.233869","0.0","0.55072","0.0","0.000939","0.0"
"3.0","0.000544","0.0","1.0","0.0","0.236321","0.0","0.556494","0.0","0.000918","0.0"
"4.0","0.000533","0.0","1.0","0.0","0.232412","0.0","0.547289","0.0","0.000916","0.0"
"5.0","0.000554","0.0","1.0","0.0","0.240885","0.0","0.567242","0.0","0.000918","0.0"
"6.0","0.000543","0.0","1.0","0.0","0.241337","0.0","0.568306","0.0","0.000898","0.0"
"7.0","0.000521","0.0","1.0","0.0","0.233065","0.0","0.548827","0.0","0.000892","0.0"
"8.0","0.00054","0.0","1.0","0.0","0.238611","0.0","0.561887","0.0","0.000902","0.0"
"9.0","0.000551","0.0","1.0","0.0","0.230201","0.0","0.542083","0.0","0.000955","0.0"
"10.0","0.000524","0.0","1.0","0.0","0.240095","0.0","0.565381","0.0","0.00087","0.0"
"11.0","0.00053","0.0","1.0","0.0","0.230545","0.0","0.542892","0.0","0.000918","0.0"
"12.0","0.000506","6.4e-05","1.0","0.00931","0.226989","0.033525","0.534519","0.078945","0.000889","7.4e-05"
"13.0","0.000509","0.0","1.0","0.0","0.229474","0.0","0.54037","0.0","0.000885","0.0"
"14.0","0.000512","0.0","1.0","0.0","0.24593","0.0","0.579121","0.0","0.000831","0.0"
"15.0","0.000542","0.0","1.0","0.0","0.243084","0.0","0.57242","0.0","0.00089","0.0"
"16.0","0.000529","0.0","1.0","0.0","0.225764","0.0","0.531634","0.0","0.000936","0.0"
"17.0","0.000538","0.0","1.0","0.0","0.241677","0.0","0.569107","0.0","0.000889","0.0"

" ","(  0.0 in STD_ERR ","means NoneType. )"
