"X","Y_Original","Y_Gaussian","Y_Lorentzian","Y_Pseudo_Voigt"
"1.20794","0.03329","0.033519","0.034847","0.033609"
"1.22065","0.03283","0.033578","0.034934","0.033668"
"1.23336","0.03272","0.033641","0.035024","0.033733"
"1.24607","0.0331","0.03371","0.035117","0.033803"
"1.25879","0.03327","0.033786","0.035213","0.033879"
"1.2715","0.03357","0.03387","0.035313","0.033963"
"1.28421","0.03366","0.033962","0.035417","0.034054"
"1.29692","0.03374","0.034064","0.035525","0.034155"
"1.30963","0.03333","0.034175","0.035637","0.034265"
"1.32234","0.03352","0.034299","0.035753","0.034386"
"1.33506","0.03396","0.034435","0.035874","0.03452"
"1.34777","0.03406","0.034585","0.035999","0.034667"
"1.36048","0.034","0.034749","0.036129","0.034828"
"1.37319","0.03437","0.034931","0.036265","0.035005"
"1.3859","0.03484","0.035129","0.036406","0.035198"
"1.39861","0.03486","0.035347","0.036553","0.03541"
"1.41132","0.03501","0.035584","0.036708","0.035641"
"1.42403","0.03541","0.035842","0.03687","0.035892"
"1.43674","0.036","0.036122","0.037039","0.036165"
"1.44945","0.03642","0.036424","0.037218","0.03646"
"1.46216","0.03667","0.036749","0.037406","0.036777"
"1.47487","0.03698","0.037098","0.037606","0.037117"
"1.48758","0.03746","0.03747","0.037817","0.03748"
"1.50029","0.03786","0.037865","0.038041","0.037867"
"1.513","0.03838","0.038283","0.03828","0.038276"
"1.52571","0.03895","0.038721","0.038534","0.038706"
"1.53842","0.03972","0.03918","0.038806","0.039156"
"1.55113","0.04038","0.039656","0.039098","0.039624"
"1.56384","0.04087","0.040147","0.03941","0.040109"
"1.57655","0.04105","0.040651","0.039745","0.040607"
"1.58926","0.04126","0.041164","0.040104","0.041116"
"1.60197","0.04179","0.041683","0.040489","0.041631"
"1.61468","0.04243","0.042203","0.040902","0.042149"
"1.62738","0.04294","0.042719","0.041343","0.042665"
"1.64009","0.04361","0.043227","0.041813","0.043174"
"1.6528","0.04417","0.043723","0.042312","0.043673"
"1.66551","0.04424","0.044199","0.042837","0.044154"
"1.67822","0.04455","0.044651","0.043386","0.044613"
"1.69093","0.04507","0.045074","0.043953","0.045043"
"1.70363","0.04539","0.045461","0.044531","0.045439"
"1.71634","0.04563","0.045807","0.045109","0.045797"
"1.72905","0.04582","0.046108","0.045674","0.046109"
"1.74176","0.04623","0.046358","0.046209","0.04637"
"1.75446","0.0462","0.046553","0.046694","0.046576"
"1.76717","0.04644","0.046689","0.047111","0.046722"
"1.77988","0.04671","0.046762","0.047435","0.046805"
"1.79259","0.04665","0.046771","0.047647","0.04682"
"1.80529","0.04642","0.046711","0.047729","0.046766"
"1.818","0.04654","0.046584","0.047669","0.04664"
"1.83071","0.04631","0.046386","0.04746","0.046443"
"1.84341","0.04591","0.04612","0.047103","0.046174"
"1.85612","0.0457","0.045786","0.046607","0.045834"
"1.86883","0.0452","0.045385","0.045986","0.045426"
"1.88153","0.04492","0.044919","0.045259","0.044951"
"1.89424","0.0444","0.044393","0.044446","0.044414"
"1.90694","0.04379","0.043809","0.043571","0.04382"
"1.91965","0.04331","0.043172","0.042653","0.043171"
"1.93235","0.04259","0.042487","0.041711","0.042475"
"1.94506","0.04177","0.041757","0.04076","0.041735"
"1.95776","0.04122","0.04099","0.039815","0.040959"
"1.97047","0.04036","0.04019","0.038883","0.040151"
"1.98317","0.03949","0.039363","0.037973","0.039318"
"1.99588","0.03831","0.038514","0.037088","0.038465"
"2.00858","0.03744","0.03765","0.036232","0.037598"
"2.02129","0.03654","0.036775","0.035406","0.036722"
"2.03399","0.03596","0.035895","0.034611","0.035843"
"2.0467","0.03519","0.035014","0.033845","0.034965"
"2.0594","0.03432","0.034138","0.033109","0.034093"
"2.0721","0.03339","0.033271","0.0324","0.03323"
"2.08481","0.03258","0.032415","0.031717","0.03238"
"2.09751","0.03172","0.031575","0.031058","0.031547"
"2.11021","0.03092","0.030753","0.030422","0.030733"
"2.12292","0.03023","0.029951","0.029807","0.029939"
"2.13562","0.02934","0.029173","0.029212","0.029169"
"2.14832","0.02859","0.028418","0.028634","0.028423"
"2.16103","0.02793","0.027688","0.028073","0.027702"
"2.17373","0.02712","0.026984","0.027528","0.027007"
"2.18643","0.02634","0.026307","0.026997","0.026338"
"2.19913","0.02581","0.025656","0.026479","0.025694"
"2.21184","0.02522","0.02503","0.025974","0.025076"
"2.22454","0.02441","0.02443","0.025481","0.024483"
"2.23724","0.02377","0.023855","0.024999","0.023915"
"2.24994","0.02317","0.023304","0.024527","0.02337"
"2.26264","0.0226","0.022776","0.024066","0.022847"
"2.27534","0.02214","0.022269","0.023614","0.022345"
"2.28804","0.02163","0.021784","0.023171","0.021864"
"2.30074","0.02084","0.021318","0.022738","0.021402"
"2.31345","0.02056","0.020871","0.022313","0.020957"
"2.32615","0.0201","0.020441","0.021897","0.02053"
"2.33885","0.01965","0.020028","0.021489","0.020118"
"2.35155","0.01932","0.01963","0.02109","0.019722"
"2.36425","0.01893","0.019247","0.020699","0.019339"
"2.37695","0.01855","0.018877","0.020316","0.01897"
"2.38965","0.01811","0.01852","0.019941","0.018613"
"2.40234","0.01759","0.018176","0.019576","0.018268"
"2.41504","0.01718","0.017842","0.019218","0.017934"
"2.42774","0.01702","0.01752","0.018869","0.017611"
"2.44044","0.01682","0.017208","0.018528","0.017298"
"2.45314","0.01649","0.016906","0.018196","0.016995"
"2.46584","0.01616","0.016614","0.017873","0.016701"
"2.47854","0.0161","0.01633","0.017558","0.016416"
"2.49123","0.01589","0.016056","0.017251","0.016139"
"2.50393","0.01557","0.015789","0.016952","0.015871"
"2.51663","0.0151","0.015531","0.016662","0.015611"
"2.52933","0.01483","0.015281","0.016381","0.015359"
"2.54203","0.01473","0.015038","0.016107","0.015115"
"2.55472","0.01465","0.014803","0.015842","0.014878"
"2.56742","0.01432","0.014575","0.015584","0.014648"
"2.58012","0.01414","0.014355","0.015334","0.014425"
"2.59281","0.01408","0.01414","0.015092","0.014209"
"2.60551","0.01393","0.013933","0.014857","0.014"
"2.6182","0.01369","0.013732","0.01463","0.013797"
"2.6309","0.01348","0.013537","0.014409","0.0136"
"2.6436","0.0134","0.013348","0.014196","0.01341"
"2.65629","0.01325","0.013165","0.013989","0.013225"
"2.66899","0.01306","0.012988","0.013789","0.013046"
"2.68168","0.01296","0.012816","0.013596","0.012873"
"2.69438","0.01291","0.01265","0.013409","0.012706"
"2.70707","0.01274","0.012489","0.013227","0.012544"
"2.71977","0.01278","0.012334","0.013052","0.012387"
"2.73246","0.01276","0.012184","0.012883","0.012235"
"2.74516","0.01256","0.012038","0.01272","0.012088"
"2.75785","0.01245","0.011898","0.012562","0.011947"
"2.77054","0.01234","0.011762","0.012409","0.01181"
"2.78324","0.01223","0.011631","0.012262","0.011678"
"2.79593","0.01207","0.011505","0.01212","0.01155"
"2.80862","0.01183","0.011383","0.011983","0.011427"
"2.82132","0.01187","0.011265","0.011851","0.011309"
"2.83401","0.01194","0.011152","0.011723","0.011194"
"2.8467","0.01192","0.011043","0.011601","0.011084"
