"TIME","AMPLITUDE","STD_ERR","CENTER","STD_ERR","SIGMA","STD_ERR","FWHM","STD_ERR","HEIGHT","STD_ERR"
"0.0","0.001099","1.9e-05","6.349471","0.00075","0.037563","0.00075","0.088454","0.001766","0.011667","0.000202"
"10.0","0.001036","0.0","6.350842","0.0","0.037564","0.0","0.088456","0.0","0.011001","0.0"
"20.0","0.001009","0.0","6.352068","0.0","0.037827","0.0","0.089076","0.0","0.010638","0.0"
"30.0","0.000991","9e-06","6.353262","0.000385","0.038276","0.000385","0.090133","0.000907","0.010327","9e-05"
"40.0","0.000958","1e-05","6.354369","0.000448","0.038535","0.000448","0.090743","0.001055","0.009921","0.0001"
"50.0","0.000934","1.1e-05","6.355298","0.000546","0.038739","0.000546","0.091223","0.001285","0.00962","0.000117"
"60.0","0.000928","1.4e-05","6.355968","0.000653","0.038751","0.000653","0.091251","0.001537","0.009559","0.000139"
"70.0","0.000924","1.5e-05","6.355979","0.000748","0.038864","0.000748","0.091517","0.001762","0.009486","0.000158"
"80.0","0.00086","1.7e-05","6.356109","0.000881","0.038106","0.000881","0.089732","0.002074","0.009006","0.00018"
"90.0","0.000837","2e-05","6.355547","0.00107","0.038241","0.00107","0.09005","0.00252","0.008727","0.000212"
"100.0","0.000718","2.3e-05","6.356055","0.001402","0.038475","0.001402","0.090601","0.003301","0.00745","0.000235"
"110.0","0.000518","2.8e-05","6.356584","0.002389","0.038925","0.002389","0.091661","0.005626","0.005306","0.000282"
"120.0","0.000318","3.1e-05","6.357575","0.004383","0.038511","0.004383","0.090686","0.010322","0.003296","0.000325"
"130.0","0.00019","3.6e-05","6.356582","0.008736","0.040331","0.008737","0.094971","0.020574","0.001884","0.000353"
"140.0","9.4e-05","4.1e-05","6.357684","0.019797","0.03954","0.019799","0.093109","0.046622","0.000952","0.000413"
"150.0","5.5e-05","4.3e-05","6.355951","0.039212","0.043431","0.039227","0.102273","0.092372","0.000503","0.000394"
"160.0","5.7e-05","5.6e-05","6.361537","0.06905","0.062443","0.070937","0.147041","0.167043","0.000367","0.000352"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.00099","0.000162","1.7","0.335995","1.044344","0.183168","2.459242","0.431328","0.000378","4.2e-05"
"10.0","0.000985","0.0","1.7","0.0","1.698919","0.0","4.000648","0.0","0.000231","0.0"
"20.0","0.001163","0.0","1.7","0.0","1.917581","0.0","4.515558","0.0","0.000242","0.0"
"30.0","0.000571","1.9e-05","1.818704","0.007449","0.190423","0.00745","0.448411","0.017544","0.001196","4.1e-05"
"40.0","0.001081","2.2e-05","1.810426","0.004551","0.195277","0.004553","0.459843","0.010722","0.002208","4.5e-05"
"50.0","0.001631","2.6e-05","1.81748","0.003665","0.199359","0.003667","0.469455","0.008636","0.003263","5.2e-05"
"60.0","0.002324","3.1e-05","1.820484","0.003098","0.201111","0.0031","0.47358","0.007299","0.004609","6.1e-05"
"70.0","0.002992","3.5e-05","1.823262","0.002655","0.197319","0.002656","0.464651","0.006255","0.00605","7.1e-05"
"80.0","0.003854","4e-05","1.825544","0.002395","0.201137","0.002396","0.473641","0.005642","0.007644","7.9e-05"
"90.0","0.004719","4.7e-05","1.822581","0.002298","0.201072","0.002299","0.473488","0.005414","0.009362","9.3e-05"
"100.0","0.005759","5.2e-05","1.826847","0.002046","0.197708","0.002047","0.465566","0.00482","0.011622","0.000104"
"110.0","0.007611","6.3e-05","1.822663","0.001891","0.199306","0.001892","0.469329","0.004455","0.015235","0.000125"
"120.0","0.009493","7.1e-05","1.819719","0.001706","0.19692","0.001707","0.463711","0.004019","0.019231","0.000144"
"130.0","0.011205","7.9e-05","1.818408","0.001586","0.195034","0.001587","0.459269","0.003737","0.02292","0.000161"
"140.0","0.012766","9.2e-05","1.812337","0.001623","0.196082","0.001624","0.461739","0.003824","0.025973","0.000186"
"150.0","0.013331","9.1e-05","1.810455","0.001542","0.195106","0.001543","0.45944","0.003634","0.027258","0.000187"
"160.0","0.014311","9.8e-05","1.810205","0.001555","0.197048","0.001556","0.464013","0.003665","0.028974","0.000198"

" ","(  0.0 in STD_ERR means"," NoneType.  )"
