"TIME","AMPLITUDE","STD_ERR","CENTER","STD_ERR","SIGMA","STD_ERR","FWHM","STD_ERR","HEIGHT","STD_ERR"
"0.0","0.001099","1.9e-05","6.349471","0.00075","0.037563","0.00075","0.088454","0.001766","0.011667","0.000202"
"10.0","0.001036","0.0","6.350842","0.0","0.037564","0.0","0.088456","0.0","0.011001","0.0"
"20.0","0.001009","0.0","6.352068","0.0","0.037827","0.0","0.089076","0.0","0.010638","0.0"
"30.0","0.000991","9e-06","6.353262","0.000385","0.038276","0.000385","0.090133","0.000907","0.010327","9e-05"
"40.0","0.000958","1e-05","6.354369","0.000448","0.038535","0.000448","0.090743","0.001055","0.009921","0.0001"
"50.0","0.000934","1.1e-05","6.355298","0.000546","0.038739","0.000546","0.091223","0.001285","0.00962","0.000117"
"60.0","0.000928","1.4e-05","6.355968","0.000653","0.038751","0.000653","0.091251","0.001537","0.009559","0.000139"
"70.0","0.000924","1.5e-05","6.355979","0.000748","0.038864","0.000748","0.091517","0.001762","0.009486","0.000158"
"80.0","0.00086","1.7e-05","6.356109","0.000881","0.038106","0.000881","0.089732","0.002074","0.009006","0.00018"
"90.0","0.000837","2e-05","6.355547","0.00107","0.038241","0.00107","0.09005","0.00252","0.008727","0.000212"
"100.0","0.000718","2.3e-05","6.356055","0.001402","0.038475","0.001402","0.090601","0.003301","0.00745","0.000235"
"110.0","0.000518","2.8e-05","6.356584","0.002389","0.038925","0.002389","0.091661","0.005626","0.005306","0.000282"
"120.0","0.000318","3.1e-05","6.357575","0.004383","0.038511","0.004383","0.090686","0.010322","0.003296","0.000325"
"130.0","0.00019","3.6e-05","6.356582","0.008736","0.040331","0.008737","0.094971","0.020574","0.001884","0.000353"
"140.0","9.4e-05","4.1e-05","6.357684","0.019797","0.03954","0.019799","0.093109","0.046622","0.000952","0.000413"
"150.0","5.5e-05","4.3e-05","6.355951","0.039212","0.043431","0.039227","0.102273","0.092372","0.000503","0.000394"
"160.0","5.7e-05","5.6e-05","6.361537","0.06905","0.062443","0.070937","0.147041","0.167043","0.000367","0.000352"

" ","(  0.0 in STD_ERR ","means NoneType. )"
