"TIME","AMPLITUDE","STD_ERR","CENTER","STD_ERR","SIGMA","STD_ERR","FWHM","STD_ERR","HEIGHT","STD_ERR"
"0.0","1.114811","0.012754","3.817585","0.000922","0.069981","0.000929","0.164794","0.002187","6.355185","0.072595"
"10.0","1.114128","0.012452","3.817188","0.000905","0.070261","0.000911","0.165452","0.002145","6.326016","0.070589"
"20.0","1.115289","0.012667","3.817029","0.000916","0.069968","0.000922","0.164763","0.00217","6.359115","0.072115"
"30.0","1.114847","0.012891","3.817463","0.000934","0.070132","0.000941","0.165147","0.002215","6.341788","0.073213"
"40.0","1.112773","0.012979","3.817128","0.00094","0.06998","0.000947","0.16479","0.002229","6.343729","0.07388"
"50.0","1.112267","0.012883","3.817007","0.000932","0.0698","0.000938","0.164367","0.002208","6.357146","0.073528"
"60.0","1.114989","0.012504","3.817602","0.000903","0.069925","0.00091","0.164661","0.002142","6.361309","0.071229"
"70.0","1.11895","0.012383","3.816978","0.00089","0.069831","0.000896","0.164439","0.00211","6.39255","0.070643"
"80.0","1.11675","0.011899","3.817542","0.000862","0.070219","0.000868","0.165354","0.002044","6.344681","0.067492"
"90.0","1.12138","0.01236","3.816499","0.000893","0.07034","0.000899","0.165638","0.002118","6.360039","0.069997"
"100.0","1.113219","0.013294","3.816338","0.000964","0.070047","0.00097","0.164948","0.002284","6.340165","0.075604"

" ","(  0.0 in STD_ERR ","means NoneType. )"
