"X","Y_Original","Y_Gaussian","Y_Lorentzian","Y_Pseudo_Voigt"
"2.01","-0.125994","-0.104778","-0.03452","-0.046863"
"2.02","-0.129864","-0.101518","-0.028647","-0.041141"
"2.03","-0.13028","-0.097821","-0.022442","-0.03506"
"2.04","-0.127141","-0.093556","-0.015869","-0.028568"
"2.05","-0.119454","-0.088565","-0.00889","-0.021605"
"2.06","-0.107762","-0.08266","-0.001461","-0.014099"
"2.07","-0.091738","-0.075618","0.006466","-0.005965"
"2.08","-0.071775","-0.067183","0.01495","0.002901"
"2.09","-0.048409","-0.057061","0.02406","0.012622"
"2.1","-0.021885","-0.044931","0.033878","0.023346"
"2.11","0.00681","-0.030447","0.044503","0.035242"
"2.12","0.037294","-0.013253","0.056051","0.048506"
"2.13","0.068768","0.007003","0.068663","0.063359"
"2.14","0.10075","0.030648","0.082505","0.080041"
"2.15","0.132789","0.057965","0.097773","0.098814"
"2.16","0.164633","0.089163","0.114702","0.119954"
"2.17","0.196119","0.12435","0.133565","0.143741"
"2.18","0.227355","0.163509","0.154686","0.170452"
"2.19","0.258514","0.20647","0.178439","0.200348"
"2.2","0.28993","0.252887","0.205252","0.233655"
"2.21","0.321935","0.302231","0.2356","0.270548"
"2.22","0.355022","0.353778","0.269999","0.311116"
"2.23","0.389351","0.406618","0.308966","0.35533"
"2.24","0.425297","0.459673","0.352961","0.402985"
"2.25","0.462723","0.511723","0.402285","0.453634"
"2.26","0.501453","0.561453","0.456907","0.506494"
"2.27","0.540991","0.607498","0.51623","0.560348"
"2.28","0.580567","0.648508","0.578774","0.613447"
"2.29","0.618985","0.683207","0.641862","0.663461"
"2.3","0.655139","0.710457","0.70143","0.707543"
"2.31","0.687356","0.729317","0.75219","0.742559"
"2.32","0.714034","0.739091","0.788353","0.765511"
"2.33","0.733935","0.739367","0.804926","0.774093"
"2.34","0.744572","0.73004","0.799166","0.767201"
"2.35","0.745878","0.711319","0.7715","0.745211"
"2.36","0.735454","0.68371","0.725376","0.709876"
"2.37","0.713642","0.647994","0.666134","0.663916"
"2.38","0.679942","0.605181","0.599533","0.610457"
"2.39","0.634189","0.55646","0.530586","0.552528"
"2.4","0.578307","0.503135","0.462989","0.49273"
"2.41","0.512036","0.446564","0.399077","0.433096"
"2.42","0.438647","0.388096","0.340064","0.375096"
"2.43","0.359569","0.329016","0.286371","0.319712"
"2.44","0.277575","0.270493","0.237918","0.267543"
"2.45","0.195159","0.213548","0.194346","0.218901"
"2.46","0.115263","0.159023","0.155169","0.173893"
"2.47","0.039914","0.107572","0.119863","0.132478"
"2.48","-0.027894","0.059655","0.087918","0.094516"
"2.49","-0.086915","0.01555","0.058865","0.059801"
"2.5","-0.135649","-0.024631","0.032286","0.028083"
"2.51","-0.172814","-0.060922","0.007818","-0.000915"
"2.52","-0.199413","-0.093474","-0.014854","-0.027477"
"2.53","-0.21412","-0.12253","-0.035998","-0.051885"
"2.54","-0.219682","-0.148394","-0.055841","-0.074415"
"2.55","-0.216715","-0.171412","-0.074578","-0.095324"
"2.56","-0.207512","-0.191946","-0.092374","-0.11485"
"2.57","-0.194338","-0.210355","-0.109367","-0.133207"
"2.58","-0.179394","-0.226985","-0.125677","-0.150584"
"2.59","-0.165062","-0.242154","-0.141402","-0.167146"
"2.6","-0.153652","-0.25615","-0.156629","-0.183035"
"2.61","-0.146749","-0.269224","-0.171428","-0.198369"
"2.62","-0.145735","-0.28159","-0.185862","-0.21325"
"2.63","-0.151768","-0.29343","-0.199981","-0.227759"
"2.64","-0.164379","-0.30489","-0.213829","-0.241963"
"2.65","-0.184357","-0.316088","-0.227444","-0.255917"
"2.66","-0.209792","-0.327116","-0.240857","-0.269666"
"2.67","-0.239925","-0.338046","-0.254093","-0.283245"
"2.68","-0.27285","-0.34893","-0.267175","-0.296681"
"2.69","-0.30673","-0.359806","-0.280121","-0.309998"
"2.7","-0.339436","-0.370701","-0.292946","-0.323213"
"2.71","-0.369347","-0.381632","-0.305662","-0.33634"
"2.72","-0.394322","-0.39261","-0.31828","-0.34939"
"2.73","-0.413437","-0.403641","-0.330808","-0.36237"
"2.74","-0.425746","-0.414726","-0.343251","-0.375289"
"2.75","-0.430604","-0.425866","-0.355616","-0.388151"
"2.76","-0.428957","-0.43706","-0.367908","-0.400963"
"2.77","-0.420556","-0.448306","-0.380133","-0.413728"
"2.78","-0.40762","-0.459601","-0.392293","-0.426451"
"2.79","-0.391332","-0.470943","-0.404392","-0.439135"
"2.8","-0.373836","-0.482326","-0.416431","-0.451782"
"2.81","-0.357042","-0.493747","-0.428412","-0.464393"
"2.82","-0.343317","-0.505201","-0.440335","-0.476968"
"2.83","-0.333975","-0.516683","-0.4522","-0.489509"
"2.84","-0.331187","-0.528188","-0.464005","-0.502013"
"2.85","-0.335446","-0.539711","-0.475748","-0.514481"
"2.86","-0.347377","-0.551246","-0.487428","-0.52691"
"2.87","-0.36718","-0.562788","-0.499042","-0.539298"
"2.88","-0.393431","-0.57433","-0.510584","-0.551643"
"2.89","-0.425801","-0.585866","-0.522053","-0.56394"
"2.9","-0.461677","-0.59739","-0.533442","-0.576186"
"2.91","-0.499342","-0.608895","-0.544746","-0.588378"
"2.92","-0.53628","-0.620375","-0.555961","-0.60051"
"2.93","-0.570396","-0.631823","-0.56708","-0.612579"
"2.94","-0.598869","-0.643231","-0.578098","-0.624579"
"2.95","-0.620653","-0.654593","-0.589007","-0.636504"
"2.96","-0.633317","-0.665902","-0.5998","-0.648351"
"2.97","-0.636758","-0.677151","-0.610472","-0.660113"
"2.98","-0.630554","-0.688333","-0.621014","-0.671784"
"2.99","-0.614814","-0.69944","-0.631419","-0.683359"
"3.0","-0.591502","-0.710466","-0.641679","-0.694832"
"3.01","-0.561271","-0.721403","-0.651786","-0.706197"
"3.02","-0.527294","-0.732244","-0.661732","-0.717447"
"3.03","-0.491685","-0.742982","-0.671507","-0.728577"
"3.04","-0.457357","-0.753608","-0.681103","-0.739578"
"3.05","-0.426655","-0.764115","-0.69051","-0.750445"
"3.06","-0.402724","-0.774494","-0.699718","-0.761169"
"3.07","-0.38656","-0.784737","-0.708715","-0.771743"
"3.08","-0.380733","-0.794834","-0.717492","-0.782158"
"3.09","-0.385138","-0.804777","-0.726034","-0.792406"
"3.1","-0.400037","-0.814556","-0.73433","-0.802478"
"3.11","-0.425082","-0.82416","-0.742366","-0.812364"
"3.12","-0.457982","-0.833579","-0.750128","-0.822053"
"3.13","-0.49779","-0.842801","-0.757601","-0.831536"
"3.14","-0.541065","-0.851816","-0.76477","-0.840801"
"3.15","-0.585445","-0.860612","-0.771617","-0.849838"
"3.16","-0.627878","-0.869175","-0.778126","-0.858634"
"3.17","-0.666009","-0.877495","-0.784279","-0.867177"
"3.18","-0.696698","-0.885559","-0.790058","-0.875456"
"3.19","-0.719218","-0.893353","-0.795443","-0.883457"
"3.2","-0.731271","-0.900865","-0.800415","-0.891169"
"3.21","-0.733395","-0.908082","-0.804952","-0.898579"
"3.22","-0.725795","-0.91499","-0.809032","-0.905672"
"3.23","-0.709443","-0.921576","-0.812634","-0.912437"
"3.24","-0.686975","-0.927826","-0.815734","-0.91886"
"3.25","-0.660224","-0.933726","-0.818307","-0.924926"
"3.26","-0.632688","-0.939262","-0.820328","-0.930623"
"3.27","-0.607302","-0.94442","-0.821768","-0.935936"
"3.28","-0.587245","-0.949185","-0.8226","-0.94085"
"3.29","-0.574735","-0.953542","-0.822793","-0.945351"
"3.3","-0.573092","-0.957475","-0.822316","-0.949424"
"3.31","-0.582259","-0.960969","-0.821133","-0.953052"
"3.32","-0.604321","-0.964007","-0.819208","-0.95622"
