"Dataset Index","AMPLITUDE","STD_ERR","CENTER","STD_ERR","SIGMA","STD_ERR","FWHM","STD_ERR","HEIGHT","STD_ERR"
"0.0","0.357021","0.011656","4.488013","0.003937","0.104437","0.003937","0.24593","0.009271","1.363798","0.044526"
"1.0","0.345829","0.011106","4.487825","0.003803","0.102558","0.003803","0.241507","0.008955","1.345241","0.0432"
"2.0","0.354218","0.011468","4.488441","0.003871","0.103534","0.003871","0.243805","0.009115","1.364887","0.04419"
"3.0","0.34676","0.011642","4.488478","0.004025","0.10382","0.004025","0.244478","0.009478","1.33247","0.044736"
"4.0","0.35493","0.011838","4.487331","0.004049","0.105122","0.004049","0.247544","0.009534","1.346972","0.044926"
"5.0","0.35486","0.011793","4.487821","0.004","0.104247","0.004","0.245484","0.00942","1.358008","0.04513"
"6.0","0.358453","0.01151","4.488478","0.003893","0.104981","0.003893","0.247211","0.009166","1.362173","0.043741"
"7.0","0.356932","0.011264","4.488964","0.003807","0.104485","0.003807","0.246043","0.008966","1.362836","0.043008"
"8.0","0.355133","0.010777","4.48803","0.003679","0.10499","0.003679","0.247231","0.008664","1.349446","0.040953"
"9.0","0.358402","0.011278","4.486357","0.003844","0.105794","0.003844","0.249125","0.009052","1.351513","0.04253"
"10.0","0.344419","0.012002","4.488057","0.004139","0.102876","0.004139","0.242254","0.009748","1.335623","0.046541"

" ","(  0.0 in STD_ERR ","means NoneType. )"
